bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,gcj02_LNG,gcj02_LAT,wgs84_LNG,wgs84_LAT
13097200.0,3725100.0,1,117.65330892445748,31.882716132896615,117.6467503950232,31.876991556250353,117.641379583339,31.879153962036938
13055200.0,3702200.0,5,117.27602394704947,31.707017781200076,117.26950918629161,31.701004090251175,117.26402929180784,31.70299269353504
13050300.0,3722600.0,7,117.23111902538155,31.86279863677094,117.22468200481525,31.856553198989175,117.2191906446865,31.85855195327772
13063400.0,3726000.0,16,117.34967717915143,31.88961302858376,117.34325652368527,31.88339276805676,117.33760616286644,31.8853005419074
13047700.0,3738900.0,1,117.20776699290464,31.98768609726208,117.20122630920073,31.981842505819266,117.19569502006712,31.9838361484695
13075000.0,3716700.0,3,117.45300776302686,31.81755606051559,117.44647923748933,31.81161765775825,117.44076464385874,31.81347017302024
13038600.0,3714100.0,1,117.12601503432882,31.797604271522957,117.11961892168684,31.791255298739742,117.11399563243296,31.793081531270275
13060000.0,3737100.0,1,117.3191354507922,31.97464972171805,117.31254894043062,31.96892550167367,117.30696730222456,31.970909865258115
13038100.0,3716400.0,1,117.12152225979894,31.815248479753116,117.11510589310888,31.808906250436106,117.10948026983247,31.810732897710047
13041200.0,3681100.0,2,117.14937634829111,31.544068384695997,117.14292825136442,31.53794596811202,117.13734599966595,31.53978632381576
13041300.0,3725400.0,5,117.15027494878633,31.884264704515584,117.14382105782917,31.87815725341778,117.13820784950582,31.88002592022452
13037400.0,3778000.0,2,117.1161308624012,32.28655355918732,117.10971373990614,32.280251896272254,117.10404364468506,32.282166095357965
13051600.0,3726900.0,9,117.24279438290505,31.89575775825884,117.23640765409316,31.88941749959669,117.23092048261364,31.891433564294832
13046600.0,3742400.0,2,117.19788679571421,32.01448065116933,117.19132642099804,32.008777449228695,117.18577684583153,32.01076005296779
13001800.0,3704200.0,1,116.79544204241255,31.721618342001534,116.7889288966834,31.71559368450475,116.78372407701973,31.717615509422103
13058500.0,3737400.0,4,117.30566206417237,31.976949597035986,117.29905777725939,31.971298752104243,117.29350603346978,31.97330542190781
13126700.0,3688700.0,1,117.91742116584969,31.60328015814566,117.91082337314994,31.597573817161187,117.9056020582012,31.599738055798237
13036900.0,3759600.0,4,117.1116381618686,32.146029832390596,117.10522394693929,32.13978313294112,117.09956887196049,32.14167821087999
13007500.0,3682700.0,1,116.84664905406866,31.556379045066407,116.84011137144923,31.5505550067556,116.83499756977812,31.5526605440087
13042800.0,3802600.0,1,117.16375081625925,32.474091289899334,117.15722289532137,32.46822329634791,117.15157168075896,32.47018104526408
13040400.0,3721500.0,17,117.14218888079793,31.854364769260584,117.13574252107354,31.848123075907907,117.13012355517678,31.849974820148724
13052400.0,3748400.0,3,117.25087721646777,32.06038603247569,117.24445783237472,32.05404029968234,117.23895705060714,32.056098298486035
13084500.0,3653000.0,1,117.53835234661798,31.32763413092192,117.5317650080135,31.321953927969837,117.52635526865592,31.32407039614438
13055600.0,3701700.0,2,117.27961633250709,31.70317731716702,117.27308588506872,31.69722982117565,117.26760244414768,31.69921594570232
13054100.0,3719100.0,18,117.26614507813007,31.83671897491749,117.25967493066716,31.830532688404634,117.25419095256196,31.832542983304943
13057800.0,3642400.0,5,117.29937509669722,31.24660594712778,117.29277175943758,31.240928596039545,117.28730015266729,31.242979199760185
13060200.0,3725200.0,18,117.32093193165011,31.883479609200798,117.31437760025743,31.877740647705167,117.30880019912024,31.87970135301875
13056900.0,3649300.0,1,117.29129200076055,31.299847887721388,117.28474538783102,31.294098385194268,117.27928288581384,31.29613615522405
13044400.0,3714800.0,3,117.17812470334911,31.80298165631408,117.17154123565703,31.79729999239503,117.16597759192862,31.799200652465995
13054700.0,3709600.0,1,117.27153375920375,31.763831977413627,117.26507352899549,31.75774642348123,117.25959246293618,31.759743369090423
13084200.0,3727000.0,3,117.53565777661305,31.896535773454833,117.52909656033334,31.890837677661537,117.52362551193951,31.89292593843837
13063200.0,3733100.0,4,117.3478803824162,31.94401535052532,117.34141881521934,31.937812977906788,117.33576787308463,31.939736279237074
13066000.0,3726000.0,40,117.37303652395376,31.889613884287886,117.36664456444208,31.88328780221802,117.36094063277368,31.885155359249044
13053200.0,3728000.0,15,117.25806225395942,31.904949752907307,117.25165801436762,31.898666239798477,117.2461710938718,31.900690626877008
13033400.0,3805300.0,6,117.08018864634553,32.49539330397652,117.07363424611704,32.48966411190809,117.06798636231696,32.49158602389277
13035100.0,3655400.0,1,117.09546455504716,31.346892360262924,117.08894217871793,31.340907209869417,117.08337654012634,31.342766186666815
13068200.0,3723700.0,11,117.39280354669009,31.87198732727232,117.38632770438208,31.865921628964166,117.3805926647224,31.8677617413942
13036500.0,3713200.0,7,117.10804393017138,31.790695689311654,117.10161240244678,31.784498808101063,117.09599306451403,31.78631885979624
13066100.0,3746100.0,1,117.3739344911615,32.0435439242622,117.36752603596162,32.037219572041515,117.36180556820234,32.039120888297305
13052400.0,3694400.0,1,117.24997953901004,31.646330483747917,117.24358950489757,31.63998945844784,117.23812725922454,31.641976229267623
13114800.0,3735000.0,1,117.81053449082097,31.957820863401135,117.80398559644073,31.95192511832917,117.79852141120575,31.95399455402126
13044600.0,3737700.0,24,117.17992074820755,31.978500524703296,117.1733235558792,31.972828853248632,117.16774641591248,31.974769482241264
13031300.0,3692600.0,6,117.06131893194768,31.633252875998135,117.05473510742502,31.62759280129364,117.0492171256856,31.629452115281488
13049800.0,3792900.0,1,117.2266280457503,32.40019033108642,117.22018338714108,32.39401322744294,117.21463713595372,32.396087459059615
13052800.0,3709700.0,1,117.25447013416682,31.764602899150113,117.24807281009848,31.75828638858012,117.242599592019,31.76028437291018
13114100.0,3738800.0,2,117.80424527383583,31.986919420687627,117.79768876598027,31.981132081707432,117.79220859292565,31.98319892580979
13062100.0,3726200.0,9,117.33799892152979,31.891144940705587,117.33152522643944,31.885121934742358,117.32590435743906,31.887052376824624
13077400.0,3726400.0,23,117.4745715992985,31.891937435121925,117.46816828451716,31.88565562422182,117.4624968356868,31.88756793405602
13033000.0,3678700.0,2,117.07659455781757,31.526355751109048,117.07002978951986,31.520664224548785,117.06448142158054,31.522501943643107
13046200.0,3722200.0,9,117.19429351910824,31.859734752540607,117.18769970925219,31.854056523724847,117.18215861974625,31.85599793821368
13028000.0,3709200.0,5,117.03167032014437,31.76074939893599,117.02520738341254,31.754665859634652,117.0197807301372,31.75660910244449
13070600.0,3719700.0,1,117.41436854347936,31.840557098836225,117.40777326306089,31.834834508572452,117.40202484110458,31.8366585015945
13092500.0,3755000.0,1,117.61019994809365,32.11162625552741,117.60379963272553,32.105281841666695,117.59844583654608,32.10753262721727
13032600.0,3749300.0,7,117.07300044180465,32.06802552146736,117.06639182826515,32.06235237008688,117.06080138145894,32.064262890379894
13064500.0,3734700.0,3,117.35955949752578,31.95627154705489,117.3531299156118,31.949936766919613,117.3474492537682,31.9518413653485
13053900.0,3718700.0,13,117.26434888187556,31.833651540693435,117.25788633570873,31.827437891298718,117.25240364857709,31.829447861231884
13063400.0,3726200.0,50,117.34967715900284,31.89114595395264,117.34325697446091,31.884925813966913,117.33760646685364,31.886833913966875
13046700.0,3669900.0,2,117.19878523052571,31.457861792609624,117.1921980050314,31.452140988405834,117.18670188486966,31.454081669954327
13068000.0,3710800.0,3,117.39100654343221,31.77303951234401,117.38455241865952,31.76694558028746,117.37882919111637,31.76876980064044
13042900.0,3707400.0,1,117.16464894136503,31.746190846333334,117.1581100503183,31.74033574357489,117.15252966691963,31.74220376511029
13040100.0,3641200.0,1,117.13949312852925,31.236584591405666,117.13304647427074,31.23030689016569,117.12748292687704,31.232222654263747
